EFFORTID,TRANSID,CAPID,SEARCHER,Date,OCC,PITTAG,ALTPIT,IDCODE,ALTID,NEW,SVL,TOTAL,WEIGHT,BREAK,SEX,TRANSECT,LOCATION,TRAPTYPE,SITE,COMMENT,CI,SEXdeterm,SEXconf,SEXnotes,PROJECTCODE,QC Concerns,QC Flag,QC Resolutions
12096,55325,20967,GTS,01-Feb-15,,028284638,,1639,,OLD,946,1195,90,,F,Q,8,V,NWFN,Found while searching the transect P,1.102261462,F,4,FOUR SEXINGS AS F [AT LEAST ONE>800MM],NWFN VISTRAP VIS,,,
12096,55326,20971,GTS,01-Feb-15,,4C3D3C7F69,,3596,,NEW,925,1180,71,,M,Z,11,V,NWFN,,0.934006647,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12097,55333,20970,MPH,01-Feb-15,,028557849,,2937,,OLD,1084,1374,114,,F,I,8,V,NWFN,,0.886556226,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12097,55328,20968,MPH,01-Feb-15,,0A140A4B09,,8189,,NEW,871,1098,60,,F,L,6,V,NWFN,,0.951605852,F,2,SINGLE SEXING AS F> 800MM,NWFN VISTRAP VIS,,,
12097,55328,20969,MPH,01-Feb-15,,0A140A4C4E,,4861,,NEW,943,1196,71,,F,L,5,V,NWFN,ORIGINAL PITTAG 0A140A4D30 INJECTED 01FEB15 BY MPH; SECOND PITTAG INJECTED 0A140A4C4E ON 02APR15 BY JMK,0.878452687,F,3,TWO SEXINGS AS F >800MM,NWFN VISTRAP VIS,ORIGINAL PITTAG 0A140A4D30 ASSUMED TO BE LOST,1,SECONDARY PITTAG INJECTED: 0A140A4C4E
12103,55373,20986,TJH,01-Feb-15,,028558054,,3976,,OLD,1017,1290,94,,F,W,9,V,NWFN,BAG 109,0.908389806,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12103,55370,20984,TJH,01-Feb-15,,028589281,,9271,,OLD,1132,1308,143,+,M,T,9,V,NWFN,,0.955164904,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,RTL FLAGGED LOW PROBABLY DUE TO TAIL BREAK,,
12103,55371,20985,TJH,01-Feb-15,,0A140A4D41,,2957,,NEW,796,1004,50,,F,S,9,V,NWFN,,1.036536897,F,2,SINGLE SEXING AS F >800MM,NWFN VISTRAP VIS,,,
12103,55369,20983,TJH,01-Feb-15,,0A140A4D43,,2379,,NEW,982,1245,86,,M,Z,11,V,NWFN,BAGGED 104,0.933201764,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12105,55394,20992,TJH,03-Feb-15,,028558054,,3976,,OLD,1016,1299,94,,F,X,8,V,NWFN,,0.911381199,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12105,55393,20990,TJH,03-Feb-15,,0A140A4D51,,3224,,NEW,904,1157,69,,M,Z,6,V,NWFN,HEMIPENES OBSERVED,0.975629168,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12105,55393,20989,TJH,03-Feb-15,,0A140A4D5A,,8976,,NEW,602,766,23,,F,Z,12,V,NWFN,,1.003440839,M,2,"CONFLICTING SEXINGS, LARGEST M",NWFN VISTRAP VIS,,,
12106,55403,20993,GTS,03-Feb-15,,0A140A4D63,,2746,,OLD,881,1116,67,,M,C,2,V,NWFN,HEMEPENIS OBSERVED,1.02609484,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12106,55397,20994,GTS,03-Feb-15,,4C3D3C193D,,5485,,NEW,781,991,41,,F,B,12,V,NWFN,CLEARED CLIP & CLIPPED ABOVE,0.89781043,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12107,55408,20996,MPH,03-Feb-15,,0A140A4B0C,,5673,,NEW,877,1113,63,,F,X,11,V,NWFN,,0.978412421,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12109,55428,20999,GTS,05-Feb-15,,4C3C106832,,9236,,OLD,915,1159,79,,F,O,10,V,NWFN,SNAKE WAS FOUND WHILE SEARCHING ON TRANSECT N,1.075492087,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12115,55481,21004,AOK,05-Feb-15,,028549321,,4715,,OLD,914,1160,83,,F,Z,8,V,NWFN,,1.133837401,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12115,55481,21002,AOK,05-Feb-15,,0A140A4B35,,5763,,OLD,630,794,21,,M,Z,1,V,NWFN,HEMIPENES OBSERVED,0.81862867,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12115,55483,21005,AOK,05-Feb-15,,4C3C6B7117,,5272,,NEW,840,1066,54,,F,V,2,V,NWFN,,0.955562726,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12119,55534,21017,JMK,01-Feb-15,,0A140A4C31,,3921,,NEW,886,1127,63,,M,L,6,V,NWFN,HEMIPENES OBSERVED,0.948163637,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12119,55534,21016,JMK,01-Feb-15,,0A140A4C3B,,8237,,NEW,969,1238,94,,F,L,7,V,NWFN,,1.065349221,F,2,SINGLE SEXING AS F >800MM,NWFN VISTRAP VIS,,,
12122,55563,21021,JMK,05-Feb-15,,0A140A4C27,,4992,,NEW,983,1264,83,,M,B,1,V,NWFN,HEMIPENES OBSERVED; HUNG BETWEEN LINES A AND B,0.897649332,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12123,55570,21022,ETH,05-Feb-15,,028590633,,2796,,OLD,963,1225,104,,F,Z,6,V,NWFN,,1.202680996,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12123,55570,21023,ETH,05-Feb-15,,0A140A496A,,5859,,NEW,890,1141,77,,F,Z,7,V,NWFN,,1.142852483,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12123,55573,21024,ETH,05-Feb-15,,4C3D0B5211,,1472,,NEW,859,1090,63,,F,Y,7,V,NWFN,,1.042252774,F,2,SINGLE SEXING AS F >800MM,NWFN VISTRAP VIS,,,
12125,55592,21028,TJH,08-Feb-15,,0A140A4B2A,,3836,,OLD,821,1041,47,,M,Q,7,V,NWFN,HEMIPENES OBSERVED,0.890157692,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12125,55601,21030,TJH,08-Feb-15,,4906636B5F,,4872,,OLD,1138,1407,130,,M,T,1,V,NWFN,HEMIPENES OBSERVED,0.852146053,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12127,55598,21029,MPH,08-Feb-15,,028558054,,3976,,OLD,1008,1286,97,,F,V,8,V,NWFN,,0.965579328,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12127,55598,21031,MPH,08-Feb-15,,0A140A4A7B,,5734,,NEW,857,1075,66,,F,V,8,V,NWFN,,1.099616031,F,3,TWO SEXINGS AS F> 800MM,NWFN VISTRAP VIS,,,
12127,55602,21032,MPH,08-Feb-15,,486E4B331E,,7956,,OLD,1063,1302,118,,F,Q,7,V,NWFN,"PREVIOUS PIT DESCREPANCY WHERE ONE READER GAVE OLD PIT [4C3B74220C]; CHECKED WITH TWO READERS AND ONLY GAVE NEW PIT; ORIGINAL PITTAG 486E4B331E INJECTED ON 12FEB10 BY GRH; SECONDARY PITTAG 4C3B74220C INJECTED ON 18MAR15 BY ETH
lost”",0.981699951,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,ORIGINAL PITTAG 486E4B331E NOT READABLE BY SOME OBSERVERS; OLD CLIP 2557 UNREADABLE,1,NEW PITTAG 4C3B74220C INJECTED; NEW CLIP 7956 ASSIGNED AS OFFICIAL CLIP
12128,55612,21033,GTS,08-Feb-15,,028598779,,8546,,OLD,1046,1315,111,,F,F,10,V,NWFN,,0.975700942,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12137,55629,21037,TJH,10-Feb-15,,0A140A4D44,,1896,,NEW,950,1208,83,,F,Y,7,V,NWFN,EXTRA DNA TAKEN FROM NECK,1.002856402,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800M],NWFN VISTRAP VIS,,,
12139,55635,21039,MPH,10-Feb-15,,0A140A4D1F,,7946,,NEW,792,1004,39,,M,D,7,V,NWFN,HEMIPENES OBSERVED,0.820360156,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12139,55635,21038,MPH,10-Feb-15,,4905464C4D,,3515,,OLD,1184,1458,141,,M,D,4,V,NWFN,HEMIPENES OBSERVED; TINY (<0.1MM) TAIL  BREAK; FOUND COMPLETELY ON TRAP,0.801218408,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12144,55658,21044,CJR,10-Feb-15,,0A140A4A7A,,4974,,NEW,811,1028,47,,F,T,12,V,NWFN,"SPOTTED WHILE SEARCHING THE TRANSECT ""U"".",0.922797558,F,2,SINGLE SEXING AS F> 800MM,NWFN VISTRAP VIS,,,
12146,55677,21047,JMK,10-Feb-15,,0A140A4C27,,4992,,OLD,984,1263,82,,M,G,2,V,NFWN,HEMIPENES OBSERVED,0.883882656,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12146,55677,21046,JMK,10-Feb-15,,0A140A4C31,,3921,,OLD,880,1120,62,,M,G,6,V,NFWN,HEMIPENES OBSERVED,0.952841145,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12147,55685,21052,ETH,12-Feb-15,,028553633,,9487,,OLD,914,1160,77,,F,V,5,V,NWFN,,1.051873252,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12147,55681,21049,ETH,12-Feb-15,,0A140A4B20,,2492,,OLD,886,1131,68,,F,Z,12,V,NWFN,MUCUS COMING OUT OF NOSTRILS,1.023414719,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12147,55681,21050,ETH,12-Feb-15,,4C3D385F66,,5762,,NEW,836,1072,56,,F,Z,6,V,NWFN,,1.00517579,F,2,SINGLE SEXING AS F >800MM,NWFN VISTRAP VIS,,,
12148,55689,21048,MPH,12-Feb-15,,0A140A4C27,,4992,,OLD,975,1243,76,,M,D,4,V,NWFN,"ON DND LIST, DISTURBED TO READ PIT. FOUND REGURGITATED MOUSE ON GROUND BELOW SNAKE WITH TRANSMITTER; INSTRUCTED BY SRS TO MORPH AND BAG; BAGGED; HEMIPENES OBSERVED",0.844204156,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12149,55692,21054,PDB,12-Feb-15,,0A140A4D60,,1536,,NEW,716,913,33,,M,L,13,V,NWFN,ORIGINAL PITTAG 4C3B432F77 INJECTED ON 12FEB15 BY PDB; SECONDARY PITTAG 0A140A4B00 INJECTED ON 08MAR15 BY GTS; TERTIARY PITTAG 0A140A4D60 INJECTED ON 24MAR15 BY TJH,0.920806902,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,ORIGINAL PITTAG 4C3B432F77 ASSUMED TO BE LOST; SECONDARY PITTAG 0A140A4B00 ASSUMED TO BE LOST,1,TERTIARY PITTAG INJECTED: 0A140A4D60
12162,55739,21057,TJH,15-Feb-15,,48791C7A19,,3622,,OLD,1134,1435,150,,F,F,11,V,NWFN,"TRANSMITTER IN SNAKE, SO RELEASED (SPOKE WITH SHANE)",0.995652117,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12165,55746,21060,ETH,17-Feb-15,,0A140A4D44,,1896,,OLD,937,1198,76,,F,Y,6,V,NWFN,,0.959681413,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800M],NWFN VISTRAP VIS,,,
12165,55746,21059,ETH,17-Feb-15,,4C3D632123,,5252,,NEW,926,1177,68,,F,Y,9,V,NWFN,,0.891487725,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12168,55766,21064,MPH,17-Feb-15,,000876772,,3837,,OLD,1134,1358,123,+,M,U,10,V,NWFN,HEMIPENES OBSERVED,0.816434736,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,RTL FLAGGED LOW PROBABLY DUE TO TAIL BREAK,,
12168,55765,21062,MPH,17-Feb-15,,0A140A4B29,,3684,,NEW,588,745,18,,F,Y,11,V,NWFN,CLEARED CLIP; RECLIPPED ABOVE,0.831392105,F,1,SINGLE SEXING AS F <800MM,NWFN VISTRAP VIS,,,
12169,55771,21066,GTS,15-Feb-15,,0A140A4B0C,,5673,,OLD,882,1112,62,,F,X,12,V,NWFN,,0.946213166,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12169,55773,21067,GTS,15-Feb-15,,0A140A4B2F,,4582,,OLD,810,1029,51,,M,P,13,V,NWFN,HEMIPENES OBSERVED; SNAKE SPOTTED WHILE SEARCHING THE TRANSECT Q; ORIGINAL PITTAG 0A140A4973 INJECTED ON 18JAN15 BY CJR; SECONDARY PITTAG 0A140A4B2F INJECTED ON 29JAN15 BY ETH,1.004955854,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,ORIGINAL PITTAG 0A140A4973 ASSUMED TO BE LOST,1,SECONDARY PITTAG INJECTED: 0A140A4B2F
12170,55780,21070,TLT,17-Feb-15,,0A140A4D63,,2746,,OLD,895,1140,55,,M,D,1,V,NWFN,HEMIPENES OBSERVED,0.80227592,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12173,55793,21073,TJH,19-Feb-15,,028516377,,8487,,OLD,1064,1349,100,,F,J,10,V,NWFN,,0.829270392,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12176,55798,21074,GTS,19-Feb-15,,028598116,,4918,,OLD,981,1232,98,,F,V,10,V,NWFN,,1.066970168,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12176,55800,21075,GTS,19-Feb-15,,4909232A21,,4628,,OLD,1200,1502,147,,F,P,1,V,NWFN,,0.795275167,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12179,55807,21076,AOK,19-Feb-15,,0A140A4D5B,,2692,,NEW,965,1225,76,,M,W,13,V,NWFN,ORIGINAL PITTAG 4C3B6E3523 INJECTED ON 19FEB15 BY AOK; SECOND PITTAG INJECTED 0A140A4D5B ON 01MAR15 BY TJH; DNA VIAL LOST,0.872992493,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,ORIGINAL PITTAG 4C3B6E3523 ASSUMED TO BE LOST,1,SECONDARY PITTAG INJECTED: 0A140A4D5B
12185,55833,21078,JMK,22-Feb-15,,0A140A4A52,,3483,,OLD,780,991,48,,F,M,13,V,NWFN,,1.054955779,F,3,>75% SEXED AS F BUT <1000MM,NWFN VISTRAP VIS,,,
12187,55844,21084,TJH,22-Feb-15,,0A140A4D1A,,9472,,NEW,733,898,36,,F,F,4,V,NWFN,,0.942053758,F,3,TWO SEXINGS AS F >800MM,NWFN VISTRAP VIS,PERCH HEIGHT (5 M) PERCH DIEMETER (1.7 MM) WERE PROBABLY SWITCHED DURING THE DATA RECORDING,1,SWITCHED PERCH HEIGHT (1.7) AND PERCH DIEMETER (5 MM) IN BOTH THE DATASHEET AND DB
12187,55842,21083,TJH,22-Feb-15,,4905464C4D,,3515,,OLD,1200,1477,148,+,M,D,5,V,NWFN,HEMIPENES OBSERVED; SMALL TIP BREAK,0.800685202,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12187,55841,21082,TJH,22-Feb-15,,4C3C093B0D,,2331,,OLD,937,1183,69,,M,J,13,V,NWFN,HEMIPENES OBSERVED,0.871289704,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12188,55851,21086,GTS,22-Feb-15,,028287590,,9823,,OLD,766,946,39,,M,V,13,V,NWFN,HEMIPENES OBSERVED,0.90247535,M,3,TWO SEXINGS AS M<1000MM,NWFN VISTRAP VIS,,,
12188,55850,21085,GTS,22-Feb-15,,0A140A4D45,,5367,,OLD,847,1065,55,,F,AA,5,V,NWFN,,0.949351394,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12188,55851,21087,GTS,22-Feb-15,,4C3C6B7117,,5272,,OLD,831,1055,53,,F,V,2,V,NWFN,,0.968461874,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12191,55859,21089,ETH,22-Feb-15,,45234E7A38,,4642,,OLD,997,1272,98,,M,W,7,V,NWFN,"HEMIPENES OBSERVED; SPOTTED WHILE SEARCHING THE TRANSECT ""V"".",1.011674384,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12192,55862,21090,TJH,24-Feb-15,,028589281,,9271,,OLD,1128,1302,139,+,M,K,10,V,NWFN,,0.940189271,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,RTL FLAGGED LOW PROBABLY DUE TO TAIL BREAK,,
12192,55865,21091,TJH,24-Feb-15,,4C3C093B0D,,2331,,OLD,941,1188,67,,M,J,13,V,NWFN,,0.834609581,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12193,55868,21094,ETH,24-Feb-15,,028590633,,2796,,OLD,966,1225,102,,F,U,7,V,NWFN,,1.167717919,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12193,55867,21092,ETH,24-Feb-15,,0A140A4A5A,,9613,,OLD,872,1109,57,,M,R,10,V,NWFN,HEMIPENES OBSERVED,0.900861815,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12193,55867,21093,ETH,24-Feb-15,,4527614054,,4885,,OLD,,,,,,R,6,V,NWFN,GRABBED TAIL BECAUSE SNAKE STARTED TO FLEE WHEN SCANNED INITIALLY,,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12193,55870,21095,ETH,24-Feb-15,,485A3A4E62,,8728,,OLD,1410,1705,286,+,M,SWE,3,V,NWFN,HEMIPENES OBSERVED; FOUND ON RIMSKIRT,0.832475122,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,RTL FLAGGED LOW PROBABLY DUE TO TAIL BREAK,,
12193,55870,21097,ETH,24-Feb-15,,4C3C431B5F,,7426,,NEW,694,872,32,,F,SWE,13,V,NWFN,,0.971126206,F,2,TWO SEXINGS AS F <800MM,NWFN VISTRAP VIS,,,
12196,55879,21101,MPH,24-Feb-15,,028553633,,9487,,OLD,914,1155,76,,F,P,4,V,NWFN,,1.03821256,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12196,55876,21098,MPH,24-Feb-15,,0A140A4B12,,4846,,NEW,762,964,42,,M,U,4,V,NWFN,HEMIPENES OBSERVED,0.986378548,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12196,55877,21100,MPH,24-Feb-15,,0A140A4D44,,1896,,OLD,939,1189,86,,F,V,9,V,NWFN,BULGE OF 2 FOR VISIBLE TRANSMITTER; NOT KEPT FOR MEAL STUDY (PERS COMM SRS),1.078594414,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800M],NWFN VISTRAP VIS,,,
12196,55876,21099,MPH,24-Feb-15,,490A761F63,,8661,,OLD,,,,,,U,6,V,NWFN,,,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12197,55881,21103,AOK,24-Feb-15,,0A140A496A,,5859,,OLD,905,1156,74,,F,C,6,V,NWFN,,1.042720783,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12197,55881,21102,AOK,24-Feb-15,,4C3D3C193D,,5485,,OLD,795,1007,50,,M,C,8,V,NWFN,,1.040315003,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12200,55891,21111,ETH,26-Feb-15,,057278111,,8443,,OLD,1034,1323,98,,M,D,11,V,NWFN,HEMIPENES OBSERVED,0.895752634,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12200,55891,21112,ETH,26-Feb-15,,0A140A4D3D,,2443,,OLD,791,1006,46,,F,D,2,V,NWFN,,0.971138313,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,,,
12205,55913,21113,GTS,26-Feb-15,,028515582,,9141,,OLD,1109,1339,113,+,F,S,8,V,NWFN,,0.811559295,F,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,RTL FLAGGED LOW PROBABLY DUE TO TAIL BREAK,,
12205,55915,21114,GTS,26-Feb-15,,028558513,,2438,,OLD,946,1201,79,,M,Z,8,V,NWFN,HEMIPENES OBSERVED,0.967540617,F,4,FOUR SEXINGS AS M [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12206,55919,21117,JMK,26-Feb-15,,0A140A4C24,,1664,,NEW,967,1232,97,,F,S,8,V,NWFN,MESSED UP CLIP. CLEARED AND CLIPPED ABOVE,1.106753736,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12206,55920,21119,JMK,26-Feb-15,,0A140A4C57,,5739,,NEW,819,1045,58,,F,V,8,V,NWFN,,1.106416853,F,4,FOUR SEXINGS AS F [AT LEAST ONE >800MM],NWFN VISTRAP VIS,,,
12206,55920,21118,JMK,26-Feb-15,,0A140A4C7F,,2447,,NEW,990,1265,85,,M,V,1,V,NWFN,SNAKE PROBING TRAP. HEMIPENES OBSERVED,0.89810168,M,4,Sex assigned by algorithm (>75% agreement and >1000mm),NWFN VISTRAP VIS,,,
12206,55918,21116,JMK,26-Feb-15,,4C3C3E7E49,,7582,,NEW,886,1119,56,,M,W,3,V,NWFN,HEMIPENES OBSERVED;  ORIGINAL PITTAG 0A140A4C25 INJECTED 26FEB15 BY JMK; SECONDARY PITTAG 4C3D570A06 INJECTED ON 08MAR15 BY MPH; TERTIARY PITTAG 4C3C3E7E49 INJECTED ON 24MAR15 BY GTS,0.842812122,M,4,PROBE RECORDED AND OBSERVATION OF HEMIPENES,NWFN VISTRAP VIS,ORIGINAL PITTAG 0A140A4C25 ASSUMED TO BE LOST; SECONDARY PITTAG 4C3D570A06 ASSUMED TO BE LOST,1,TERTIARY PITTAG INJECTED: 4C3C3E7E49
